Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8,Amount_Cleaned,Date_Parsed,Year,Sector_Standardized,State_Standardized
1.0,03/04/2015,Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"2,000,000",Series A,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,2015-03-04,2015.0,online food delivery,bangalore
2.0,04/04/2015,Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,200000.0,2015-04-04,2015.0,web content publishing,gurgaon
3.0,04/04/2015,KeepTrax,Location Based App,Dallas / Hyderabad,,Seed Funding,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2015-04-04,2015.0,location based app,dallas / hyderabad
4.0,06/04/2015,InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"120,000",,,,,,,,,,,,,,,,,,,,,,,,,120000.0,2015-06-04,2015.0,video streaming,new delhi
5.0,07/04/2015,Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"165,000",,,,,,,,,,,,,,,,,,,,,,,,,165000.0,2015-07-04,2015.0,price comparison,hyderabad
6.0,07/04/2015,Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"150,000,000",Series G (Checkprev funding details here),,,,,,,,,,,,,,,,,,,,,,,,150000000.0,2015-07-04,2015.0,online classifieds,mumbai
7.0,07/04/2015,PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"2,200,000",,,,,,,,,,,,,,,,,,,,,,,,,2200000.0,2015-07-04,2015.0,travel entertainment,new delhi
8.0,07/04/2015,LogiNext,Logistics Tech,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-04,2015.0,logistics tech,mumbai
9.0,08/04/2015,FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures",Private Equity,"10,000,000","Series D( In Feb it was announced they raised 26M, but it is 36M, so added here)",,,,,,,,,,,,,,,,,,,,,,,,10000000.0,2015-08-04,2015.0,ecommerce,pune
10.0,08/04/2015,MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"25,000,000",Series B,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,2015-08-04,2015.0,digital / mobile wallet,gurgaon
