Startup Name,Amount_Cleaned,Sector_Standardized,City,State_Standardized,Investors' Name,Date_Parsed,Year
CRED,₹173.08 Cr,Foodtech,Hyderabad,Telangana,"Times Internet, Nexus Venture Partners",2016-06-17,2016
InShorts,₹54.42 Cr,SaaS,Gurgaon,Haryana,Binny Bansal,2024-12-02,2024
KissanKraft,₹16.04 Cr,Gaming,Chandigarh,Chandigarh,Accel India,2025-09-18,2025
Droom,₹9.46 Cr,Agritech,Mumbai,Maharashtra,Ritesh Agarwal,2021-09-19,2021
Ather Energy,₹319.01 Cr,E-Commerce,Mysore,Karnataka,Qualcomm Ventures,2018-03-31,2018
Flipkart,₹61.39 Cr,E-Commerce,Pune,Maharashtra,"Bhavish Aggarwal, Ratan Tata",2012-12-13,2012
Drivezy,₹28.30 Cr,Social Media,Chennai,Tamil Nadu,Bhavish Aggarwal,2021-03-27,2021
Housing.com,₹17.43 Cr,E-Commerce,Hyderabad,Telangana,Chiratae Ventures,2014-07-15,2014
upGrad,₹71.62 Cr,E-Commerce,Pune,Maharashtra,Matrix Partners India,2017-04-01,2017
Flipkart,₹211.75 Cr,E-Commerce,Pune,Maharashtra,"Sequoia Capital, SoftBank Vision Fund",2015-12-02,2015
FirstCry,₹33.96 Cr,SaaS,Ahmedabad,Gujarat,Falguni Nayar,2018-06-27,2018
Xpressbees,₹10.50 Cr,Fintech,Vadodara,Gujarat,Peak XV Partners,2016-10-20,2016
OfBusiness,₹99.04 Cr,E-Commerce,Pune,Maharashtra,Falguni Nayar,2017-02-28,2017
HealthifyMe,₹303.62 Cr,E-Commerce,Lucknow,Uttar Pradesh,"Chiratae Ventures, Accel India",2017-01-12,2017
Pepperfry,₹70.66 Cr,E-Commerce,Chennai,Tamil Nadu,"Nexus Venture Partners, Fireside Ventures",2014-05-16,2014
Moj,₹93.10 Cr,Edtech,Bangalore,Karnataka,Kunal Shah,2021-01-08,2021
Cars24,₹16.62 Cr,Fintech,Gurgaon,Haryana,Chiratae Ventures,2019-09-24,2019
BigBasket,₹2.98 Cr,E-Commerce,Hyderabad,Telangana,SAIF Partners,2017-02-13,2017
FabFurnish,₹6.68 Cr,Foodtech,Pune,Maharashtra,Fireside Ventures,2017-06-29,2017
Amazon Fresh,₹5.24 Cr,Gaming,Delhi,Delhi,Sequoia Capital India,2019-05-18,2019
Jar,₹7.59 Cr,Healthtech,Chandigarh,Chandigarh,Vijay Shekhar Sharma,2024-03-13,2024
Pepperfry,₹8.69 Cr,E-Commerce,Chennai,Tamil Nadu,Matrix Partners India,2018-08-17,2018
CredFlow,₹14.67 Cr,E-Commerce,Chandigarh,Chandigarh,Vijay Shekhar Sharma,2023-12-24,2023
OYO Rooms,₹860.81 Cr,E-Commerce,Indore,Madhya Pradesh,"Nexus Venture Partners, Naspers, Chiratae Ventures",2020-02-17,2020
Amazon Fresh,₹156.40 Cr,Gaming,Bangalore,Karnataka,Flipkart Ventures,2020-11-24,2020
Freshdesk,₹572.81 Cr,E-Commerce,Hyderabad,Telangana,Fireside Ventures,2015-08-20,2015
GoIbibo,₹79.19 Cr,E-Commerce,Gurgaon,Haryana,Elevation Capital,2012-12-18,2012
Acko,₹40.00 Cr,E-Commerce,Gurgaon,Haryana,Fireside Ventures,2017-01-20,2017
Ultraviolette,₹52.58 Cr,Fintech,Pune,Maharashtra,SAIF Partners,2025-10-15,2025
MoneyTap,₹15.45 Cr,E-Commerce,Mumbai,Maharashtra,Elevation Capital,2011-01-22,2011
UrbanClap,₹35.02 Cr,E-Commerce,Hyderabad,Telangana,Lightspeed India,2011-08-24,2011
Dunzo Daily,₹63.55 Cr,SaaS,Chennai,Tamil Nadu,Peak XV Partners,2023-01-12,2023
Meesho,₹31.83 Cr,E-Commerce,Bangalore,Karnataka,Bhavish Aggarwal,2015-08-03,2015
Cars24,₹82.35 Cr,Fintech,Delhi,Delhi,"Peak XV Partners, Nexus Venture Partners",2021-03-01,2021
