Startup Name,Amount_Cleaned,Amount_USD,Amount_INR_Numeric,Sector_Standardized,City,State_Standardized,Investors' Name,Funding_Stage,Date_Parsed,Year,Quarter,Month
CRED,₹173.08 Cr,$25.76M,1730820066.4671245,Foodtech,Hyderabad,Telangana,"Times Internet, Nexus Venture Partners",Series B,2016-06-17,2016,Q2,June
InShorts,₹54.42 Cr,$6.54M,544223797.7340177,SaaS,Gurgaon,Haryana,Binny Bansal,Series A,2024-12-02,2024,Q4,December
KissanKraft,₹16.04 Cr,$1.90M,160387120.85434845,Gaming,Chandigarh,Chandigarh,Accel India,Pre-Series A,2025-09-18,2025,Q3,September
Droom,₹9.46 Cr,$1.29M,94555530.85645448,Agritech,Mumbai,Maharashtra,Ritesh Agarwal,Seed,2021-09-19,2021,Q3,September
Ather Energy,₹319.01 Cr,$46.65M,3190078704.104854,E-Commerce,Mysore,Karnataka,Qualcomm Ventures,Debt,2018-03-31,2018,Q1,March
Flipkart,₹61.39 Cr,$11.49M,613878265.6679747,E-Commerce,Pune,Maharashtra,"Bhavish Aggarwal, Ratan Tata",Bridge,2012-12-13,2012,Q4,December
Drivezy,₹28.30 Cr,$3.85M,283026553.13253015,Social Media,Chennai,Tamil Nadu,Bhavish Aggarwal,Pre-Series A,2021-03-27,2021,Q1,March
Housing.com,₹17.43 Cr,$2.86M,174349160.76568538,E-Commerce,Hyderabad,Telangana,Chiratae Ventures,Pre-Series A,2014-07-15,2014,Q3,July
upGrad,₹71.62 Cr,$11.00M,716164641.1779829,E-Commerce,Pune,Maharashtra,Matrix Partners India,Series A,2017-04-01,2017,Q2,April
Flipkart,₹211.75 Cr,$33.01M,2117540923.1373696,E-Commerce,Pune,Maharashtra,"Sequoia Capital, SoftBank Vision Fund",Series B,2015-12-02,2015,Q4,December
FirstCry,₹33.96 Cr,$4.97M,339615836.8801244,SaaS,Ahmedabad,Gujarat,Falguni Nayar,Series A,2018-06-27,2018,Q2,June
Xpressbees,₹10.50 Cr,$1.56M,105040375.26679583,Fintech,Vadodara,Gujarat,Peak XV Partners,Seed,2016-10-20,2016,Q4,October
OfBusiness,₹99.04 Cr,$15.21M,990401196.0364039,E-Commerce,Pune,Maharashtra,Falguni Nayar,Series A,2017-02-28,2017,Q1,February
HealthifyMe,₹303.62 Cr,$46.62M,3036200661.906498,E-Commerce,Lucknow,Uttar Pradesh,"Chiratae Ventures, Accel India",Series B,2017-01-12,2017,Q1,January
Pepperfry,₹70.66 Cr,$11.58M,706646867.9391601,E-Commerce,Chennai,Tamil Nadu,"Nexus Venture Partners, Fireside Ventures",Series A,2014-05-16,2014,Q2,May
Moj,₹93.10 Cr,$12.67M,930963163.9698215,Edtech,Bangalore,Karnataka,Kunal Shah,Series A,2021-01-08,2021,Q1,January
Cars24,₹16.62 Cr,$2.36M,166181392.639684,Fintech,Gurgaon,Haryana,Chiratae Ventures,Pre-Series A,2019-09-24,2019,Q3,September
BigBasket,₹2.98 Cr,$0.46M,29777826.731387433,E-Commerce,Hyderabad,Telangana,SAIF Partners,Seed,2017-02-13,2017,Q1,February
FabFurnish,₹6.68 Cr,$1.03M,66823764.67261297,Foodtech,Pune,Maharashtra,Fireside Ventures,Seed,2017-06-29,2017,Q2,June
Amazon Fresh,₹5.24 Cr,$0.74M,52389051.51640108,Gaming,Delhi,Delhi,Sequoia Capital India,Seed,2019-05-18,2019,Q2,May
Jar,₹7.59 Cr,$0.91M,75918719.08890477,Healthtech,Chandigarh,Chandigarh,Vijay Shekhar Sharma,Seed,2024-03-13,2024,Q1,March
Pepperfry,₹8.69 Cr,$1.27M,86887011.45372815,E-Commerce,Chennai,Tamil Nadu,Matrix Partners India,Seed,2018-08-17,2018,Q3,August
CredFlow,₹14.67 Cr,$1.78M,146678333.0987976,E-Commerce,Chandigarh,Chandigarh,Vijay Shekhar Sharma,Pre-Series A,2023-12-24,2023,Q4,December
OYO Rooms,₹860.81 Cr,$116.17M,8608053243.673817,E-Commerce,Indore,Madhya Pradesh,"Nexus Venture Partners, Naspers, Chiratae Ventures",Debt,2020-02-17,2020,Q1,February
Amazon Fresh,₹156.40 Cr,$21.11M,1564022415.5895562,Gaming,Bangalore,Karnataka,Flipkart Ventures,Bridge,2020-11-24,2020,Q4,November
Freshdesk,₹572.81 Cr,$89.29M,5728109971.470456,E-Commerce,Hyderabad,Telangana,Fireside Ventures,Series B,2015-08-20,2015,Q3,August
